Pertanyaan;Jawaban
Apa syarat menjadi Komponen Cadangan?;"Syarat menjadi anggota Komponen Cadangan : Beriman dan bertakwa kepada Tuhan Yang Maha Esa; Setia pada Negara Kesatuan Republik Indonesia yang berdasarkan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945; Usia 18 tahun - 35 tahun; Sehat jasmani dan rohani; dan Tidak memiliki catatan kriminalitas yang dikeluarkan secara tertulis oleh Kepolisian Negara Republik Indonesia."
Apa saja dasar seleksi penerimaan Komponen cadangan?;UUD Negara Republik Indonesia 1945: Pasal 27 ayat (3) setiap warga negara berhak dan wajib ikut serta dalam upaya pembelaan negara, Pasal 30 ayat (1) tiap-tiap warga negara berhak dan wajib ikut serta dalam usaha pertahanan dan keamanan negara, UU No. 3 Tahun 2003 Tentang Pertahanan Negara: Pasal 9 Ayat 1: (Setiap warga negara berhak dan wajib ikut serta dalam upaya bela negara yang diwujudkan dalam penyelenggaraan pertahanan negara), UU No. 23 Tahun 2019 Tentang PSDN Untuk Pertahanan Negara, Pasal 31 komcad dikelompokkan menjadi komcad matra darat, laut & udara, Pasal 32 tahapan pembentukan komcad terdiri dari pendaftaran, seleksi,latsarmil & penetapan, Pasal 33 persyaratan untuk menjadi calon komcad, Pasal 34 seleksi pembentukan komcad, Peraturan Pemerintah No. 3 Tahun 2021: Tentang peraturan pelaksanaan uu no 23 tahun 2019 bab V pembentukan, penetapan dan pembinaan komcad.
Apa saja materi yang diberikan dalam pendidikan atau pelatihan Komcad?;"Program pendidikan pelatihan dasar kemiliteran Komcad dilaksanakan selama 3 bulan (600 jam pelajaran). Adapun tempat pelaksanaan pendidikan adalah Lembaga Pendidikan TNI Angkatan Darat, TNI Angkatan Laut, dan TNI Angkatan Udara. Sesuai Permenhan nomor 4 tahun 2021 tentang Kurikulum Pelatihan Dasar Kemiliteran Komcad, sasaran yang ingin dicapai adalah: a) Bidang Sikap dan Perilaku: Terwujudnya sikap dan perilaku Siswa yang bermental tangguh dengan meningkatkan iman dan takwa, nasionalisme dan militansi serta terpeliharanya kepribadian sebagai Komcad. b) Bidang Pengetahuan dan Keterampilan: 1) Bidang Pengetahuan: Memiliki pengetahuan Pembinaan Mental Rohani; Memiliki pengetahuan Pembinaan Mental Ideologi; Memiliki pengetahuan Sejarah; Memiliki pengetahuan Kepemimpinan; Memiliki pengetahuan Hukum; Memiliki pengetahuan Adminstrasi; Memiliki pengetahuan Teknik Militer; Memiliki pengetahuan Taktik Militer. 2) Bidang Keterampilan: Memiliki keterampilan Permildas; Memiliki keterampilan Teknik Militer; Memiliki keterampilan Taktik Militer. c)  Bidang Jasmani: Terwujudnya kondisi jasmani yang samapta dalam rangka mendukung pelaksanaan tugas sebagai Komcad."
Apa saja hak dan kewajiban anggota Komponen Cadangan?;"Sesuai UU No 23 tahun 2019 tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara, anggota Komcad memiliki sejumlah hak dan kewajiban. Dalam pasal 41 disebutkan anggota Komcad memiliki kewajiban: a.   setia dan taat pada Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun  1945, dan Negara Kesatuan Republik Indonesia; menjaga persatuan dan kesatuan bangsa; menaati ketentuan peraturan perundang-undangan; melaksanakan tugas dengan penuh pengabdian, kejujuran, kesadaran, dan tanggung jawab; menunjukkan integritas dan keteladanan dalam sikap, perilaku, ucapan, dan tindakan kepada setiap orang; mengikuti pelatihan penyegaran; dan  memenuhi panggilan Mobilisasi. Dalam pasal 42 disebutkan anggota Komcad memiliki hak: uang saku selama menjalani pelatihan;  tunjangan operasi pada saat Mobilisasi; rawatan kesehatan; pelindungan jaminan kecelakaan kerja dan jaminan kematian;penghargaan."
Apakah komponen cadagan merupakan status pengawai tetap?;Tidak, Komponen Cadangan yang berasal dari unsur ASN dan pekerja/buruh selama menjalani masa aktif tetap mendapat hak ketenagakerjaannya dan tak kehilangan pekerjaan di instansi asal. Begitu juga Komponen Cadangan yang berstatus mahasiswa selama menjalin masa aktif tetap memperoleh hak akademisnya dan tak kehilangan status sebagai peserta didik.
Apa yang membedakan Komponen Cadangan dan wajib militer?;Keduanya jelas berbeda. Komponen Cadangan bersifat sukarela. Tidak ada paksaan. Selain itu, setelah dilatih dan ditetapkan mereka kembali ke masyarakat sesuai profesi masing – masing dengan status sebagai orang sipil. Berbeda dengan wajib militer. Mereka yang dipanggil dalam program wajib militer setelah dididik dan dilatih mendapat penugasan sebagai anggota militer dalam kurun waktu tertentu, misalnya setahun atau dua tahun. Mereka berstatus sebagai anggota militer aktif selama masa dinas wajib militer tersebut. Setelah itu, mereka bisa memilih untuk kembali kepada profesi masing – masing sebagai warga sipil atau melanjutkan berdinas di militer.
Bagaimana mencegah agar Komponen Cadangan tidak digunakan untuk kepentingan selain pertahanan?;Komponen Cadangan sesuai UU No. 23 Tahun 2019 dikerahkan pada saat mobilisasi bila negara dalam keadaan darurat militer / keadaan perang yang ditimbulkan oleh ancaman, seperti invasi dari negara lain dan atas perintah Presiden dengan persetujuan DPR. Ketentuan mobilisasi yang diatur pada Pasal 29  UU tersebut yang secara tegas menjelaskan pengerahan atau mobilisasi hanya untuk memperkuat komponen utama menghadapi ancaman militer dan hibrida yang membutuhkan kehadiran militer di garis depan. Ini sudah diatur dalam UU TNI terkait tugas pokok TNI dalam Operasi militer untuk perang dan operasi militer selain perang.
Pada situasi dan kondisi apakah komponen cadangan diperlukan oleh negara Indonesia?;Komponen cadangan dikerahkan bila negara dalam keadaan darurat militer atau keadaan perang, dimobilisasi oleh Presiden dengan persetujuan DPR yang komando dan kendalinya berada di Panglima TNI
Apakah Deddy Corbuzier anggota Komcad?;Kementerian Pertahanan dalam hal ini Direktorat Jenderal Potensi Pertahanan selaku institusi yang menyelenggarakan pembentukan dan pembinaan Komcad dengan menugaskan Letnan Kolonel Tituler Deddy Corbuzier sebagai Duta Komcad yang dianugrahi pangkat Letnan Kolonel Tituler oleh Pemerintah dengan tanggung jawab sesuai ketentuan.
Apakah komponen cadangan wajib?;Rancangan Undang-Undang Komponen Tentara Cadangan sedang digodok. Dalam rancangan itu, hampir setiap warga negara wajib menjadi komponen tentara cadangan. Dalam pasal 8 dan 9 disebut Pegawai Negeri Sipil dan warga negara yang sudah berumur 18 tahun.
Apa fungsi dari Komcad?;Berbeda dengan TNI yang merupakan angkatan bersenjata negara Indonesia yang berperan sebagai alat negara di bidang pertahanan, Komcad berfungsi untuk memperkuat Komponen Utama
Apa pangkat tertinggi Komcad?;"Selama memahami ketika Menteri Pertahanan Prabowo Subianto memberikan penghargaan kepada Deddy sebagai duta Komponen Cadangan (Komcad) pada Oktober 2021. Ia menambahkan, Komcad berbeda dengan pangkat tituler. “Pangkat tertinggi Komcad itu hanya kapten""."
Apa dasar hukum dibentuknya komponen cadangan?;Komponen Cadangan (Komcad) bukan wajib militer. Komponen Cadangan adalah salah satu program sukarela (tidak wajib) yang diamanatkan oleh UU No. 23 Tahun 2019 Tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara.
Apa tugas Komponen Cadangan TNI?;"Mengikuti pelatihan penyegaran; dan Memenuhi panggilan Mobilisasi."
Apa saja rangkaian kegiatan dalam penerimaan Komcad TA 2023?;Pendaftaran Online Maupun Pendaftaran Fisik di Korem/lanal/lanud, Pendaftaran Secara Fisik dan Seleksi Administratif, Seleksi Kompetensi, Latsarmil atau Pelatihan Dasar Kemiliteran.
Pendidikan Komcad itu apa?;Komcad adalah program sukarela atau tidak wajib yang diamanatkan oleh UU Nomor 23 Tahun 2019. Setelah dilatih dan ditetapkan, mereka kembali ke masyarakat sesuai profesi masing–masing dengan status sebagai orang sipil
 Berapa minimum tinggi badan untuk menjadi Komcad?;Memiliki tinggi badan sekurang-kurangnya 165 cm untuk pria dan 160 cm untuk wanita serta memiliki berat badan seimbang menurut ketentuan yang berlaku
Dimana bentuk keiikutsertaan warga negara dalam usaha pertahanan negara?;Komcad TNI, Ini merupakan wadah dan bentuk keikutsertaan warga negara, seluruh sumber daya alam, sumber daya buatan serta sarana dan prasarana nasional dalam usaha pertahanan negara.
Komcad Itu Untuk Apa?;Komcad merupakan elemen penting sebagai strategi antisipatif agar segenap bangsa siap menghadapi ancaman dan gangguan. Tak hanya itu, Komcad juga berguna untuk menjaga keutuhan wilayah, serta melindungi keselamatan bangsa, Selain itu, Komcad juga menjadi upaya dalam memperkuat rasa nasionalisme bagi masyarakat. Sebab, sistem pertahanan jadi kebutuhan mendasar bagi sebuah negara untuk menegakkan kedaulatan. Salah satu perwujudannya adalah penguatan tambahan melalui Komcad yang berasal dari rakyat.
Berapa lama pendidikan TNI Komcad?;Apa saja materi yang diberikan dalam pendidikan atau pelatihan Komcad? Program pendidikan pelatihan dasar kemiliteran Komcad dilaksanakan selama 3 bulan (600 jam pelajaran).
Kenapa Komcad dibentuk?;Pembentukan Komcad merupakan amanat Undang-Undang Dasar (UUD) 1945 pasal 27 yang mengamanatkan setiap warga negara berhak dan wajib ikut serta dalam upaya pembelaan negara dan pasal 30 yang menyatakan bahwa tiap-tiap warga negara berhak dan wajib ikut serta dalam usaha pertahanan dan keamanan negara.
Apakah Komponen Cadangan merupakan status pegawai tetap?;Tidak, Komponen Cadangan yang berasal dari unsur ASN dan pekerja/buruh selama menjalani masa aktif tetap mendapat hak ketenagakerjaannya dan tak kehilangan pekerjaan di instansi asal. Begitu juga Komponen Cadangan yang berstatus mahasiswa selama menjalin masa aktif tetap memperoleh hak akademisnya dan tak kehilangan status sebagai peserta didik.
Dari 25.000 target rekrutan Komcad, saat ini sudah ada 3000an, kapan sisa targetnya akan dipenuhi?;Pada awalnya Pemerintah memang berencana membentuk 100 batalion Komcad. Namun rencana tersebut mengalami perubahan mengingat kondisi keuangan negara akibat dampak pandemi Covid-19. Pada tahun 2022, direncanakan akan dilakukan rekrutmen anggota Komcad yang terdiri dari matra darat, matra laut dan matra udara sesuai kebutuhan masing – masing matra serta sesuai kemampuan keuangan negara.
Sebelum penetepan anggota Komcad, apa saja materi latihan yang diberikan?;Sebelum penetapan, para anggota Komcad mengikuti sejumlah materi latihan meliputi, mengesan jejak yang bertujuan menganalisa jejak kecurigaan pergerakan musuh, serangan munisi tajam untuk melatih kemampuan tempur saat kontak dengan musuh dan survival untuk bertahan hidup dengan memanfaatkan alam sekitar, seperti tumbuhan dan hewan yang aman dikonsumsi. Kemudian diajarkan pula materi bunlog, yang merupakan teknik menyembunyikan logistik agar tidak diketahui musuh, dan tradisi untuk menumbuhkan jiwa korsa serta renungan suci sebagai renungan janji ikhlas untuk tetap setia menjaga NKRI.
Siapa yang membuat Komcad?;UU PSDN merupakan legalitas bagi pemerintah dalam memberdayakan seluruh komponen bangsa untuk berperan aktif dalam mendukung penyelenggaraan sistem pertahanan semesta. Dalam upaya menciptakan pertahanan negara yang Tangguh, pemerintah melalui Kementerian Pertahanan telah membentuk Komcad
Deddy Corbuzier TNI sebagai apa?;Sesuai peraturan yang ada, pengangkatannya menjadi Letnan Kolonel Tituler TNI AD yang diberikan langsung oleh Menteri Pertahanan Prabowo Subianto, maka Deddy berhak mendapatkan haknya, berupa gaji hingga tunjangan honorarium
Komcad dibawah apa?;Pengunaan Komcad dalam suatu operasi militer wajib melalui keputusan politik pemerintah, yaitu Presiden dengan persetujuan DPR. Komcad tidak berdiri sendiri, tetapi bergabung dengan Komponen Utama yang komando dan kendalinya berada dibawah Panglima TNI sehingga tidak ada anggota Komcad yang melakukan kegiatan mandiri.
Apakah tentara tituler dapat gaji?;"Kepada mereka yang memperoleh pangkat militer tituler berdasarkan peraturan ini, dapat diberikan tunjangan honorarium menurut ketentuan peraturan menteri, kecuali jika pemerintah menetapkan lain,"""
Siapa saja yang termasuk dalam komponen cadangan?;Uang Saku. Tunjangan Operasi. Rawatan Kesehatan. Jaminan Keselamatan Kerja. Penghargaan.
Apa itu pangkat Peltu?;Pembantu Letnan Satu (Peltu) Pembantu Letnan Dua (Pelda) Sersan Mayor (Serma) Sersan Kepala (Serka)
Berapa Gaji TNI paling tinggi?;Berdasarkan Peraturan Presiden Nomor 102 Tahun 2018, tunjangan kinerja TNI untuk jabatan tertinggi mencapai Rp37.810.500, sedangkan untuk jabatan terendah Rp1.968.000. Anggota TNI juga berhak menerima tunjangan lain, meliputi: Tunjangan suami atau istri: 10% dari gaji pokok
Apa tujuan dibentuknya Komcad?;Komponen Cadangan dibentuk dengan tujuan untuk memperbesar dan memperkuat kekuatan dan kemampuan TNI sebagai Komponen Utama, dalam upaya penyelenggaraan Pertahanan Negara untuk menjaga dan melindungi kedaulatan negara, keutuhan wilayah NKRI dan keselamatan segenap bangsa dari segala ancaman yang dilaksanakan berdasarkan kebijakan Presiden.
Gelar tituler itu apa?;Letkol Tituler sendiri merupakan pangkat atau gelar kehormatan militer yang diperoleh tanpa menjalankan tugas jabatan yang tersebut pada gelarnya. Pangkat ini adalah salah satu pangkat TNI khusus yang kepada warga negara Indonesia yang bukan berasal dari kalangan militer.
Apakah wajib militer di bayar?;Kepada militer wajib dapat diberikan kenaikan uang saku berkala, kenaikan uang saku istimewa atau hadiah menurut syarat-syarat yang berlaku untuk militer sukarela.
Apa moto dari Komcad?;"""Komponen Cadangan Terlatih, Teruji dan Terpercaya"""
Tipe unit apa Komcad?;Pasukan cadangan militer
TNI garis 3 pangkat apa?;Terdapat tiga pembagian pangkat pada Perwira Pertama di TNI AD, TNI AL, dan TNI AU, yaitu : Kapten dengan 3 garis emas, Letnan Satu dengan 2 garis emas, dan Letnan Dua dengan 1 garis emas
Apa yang dimaksud dengan pasukan cadangan?;Pasukan cadangan militer adalah organisasi militer yang terdiri dari warga negara yang menggabungkan peran militer dengan pekerjaan sipil. Mereka biasanya tidak selalu berseragam formal dan tugas utama mereka adalah harus siap untuk berperang ketika militer mereka membutuhkan tenaga tambahan.
Apa perbedaan anggota TNI dan Komcad?;"Sistem pertahanan negara dalam menghadapi ancaman militer menempatkan Tentara Nasional Indonesia sebagai ""Komponen Utama"" dengan didukung oleh ""Komponen Cadangan"" dan ""Komponen Pendukung"". Berbeda dengan TNI yang merupakan angkatan bersenjata negara Indonesia yang berperan sebagai alat negara di bidang pertahanan, Komponen Cadangan merupakan komponen pertahanan dalam sistem pertahanan rakyat semesta yang dianut Republik Indonesia yang berfungsi untuk memperkuat Komponen Utama pertahanan yakni TNI. Proses rekruItmen Komponen Cadangan dibuka secara sukarela dan memiliki syarat-syarat tertentu untuk dipenuhi oleh peserta program tersebut."
Komcad 2023 kapan dibuka?;pendaftaran dibuka mulai 2 Januari hingga 14 April 2023. Berikut jadwal lengkap dan syarat pendaftaran Komcad 2023
Berapa Lama wajib militer di Indonesia?;"Masa-kerja dinas wajib-militer adalah jumlah rangkaian masa dinas wajib-militer tersebut dalam ayat 3. Pasal 29. (1) Pendidikan dan latihan pertama berlangsung: a. paling lama 12 bulan untuk Prajurit wajib-militer; b. paling lama 18 bulan untuk Bintara wajib-militer; c. paling lama 24 bulan untuk Perwira-Cadangan."
Apa syarat naik pangkat TNI?;Telah menduduki jabatan penuh dalam jabatan berdasarkan keputusan dari pejabat yang berwenang. Memenuhi norma atas waktu kenaikan pangkat. Kenaikan pangkat berdasarkan MDP (Masa Dinas Prajurit)
Berapa banyak bagian Komcad?;Komcad sendiri terdiri dari tiga bagian. Pertama, Komponen Cadangan Matra Darat. Kedua, Komponen Cadangan Matra Laut. Ketiga, Komponen Cadangan Matra Udara.
Apakah Komcad dapat gaji bulanan?;PNS Daftar Komcad Dapat Uang Saku & Gaji, Besarannya! Menjadi Komcad, maka anggota menerima sejumlah benefit, antara lain uang saku, tunjangan operasi, rawatan kesehatan, jaminan keselamatan kerja, hingga penghargaan
Baret Hitam itu apa?;Baret hitam dimiliki oleh pasukan Kavaleri dengan lambang berupa Pusat Kesenjataan Kavaleri (Pusenkav) yaitu Tri Daya Cakti, dengan emblem latar belakang pedang dan tombak yang bersilang, ditambah tapal kuda di atasnya. Baret hitam juga dikenakan oleh Korps Kapal Selam dengan lambang Hiu Kencana.
Baret Raider warna apa?;Baret Hijau (Kostrad, Raider, Pusennif, Ditziad, Hubat, Bekang, Penerbad). Baret hijau adalah baret yang dipakai di lingkungan Markas Besar TNI AD, Markas Kodam, serta satuan teritorial Kodim dan Koramil
Apa pangkat TNI terendah?;Urutan Pangkat TNI Angkatan Darat (AD) terdiri dari golongan pangkat tertinggi yakni perwira yang dipimpin oleh Jenderal TNI sampai golongan pangkat terendah yakni tamtama yang dikepalai oleh Kopral Kepala (KOPKA)
Apa beda baret merah dan hijau?;Satuan tempur terbesar Angkatan Darat yaitu Kostrad (Komando Cadangan Strategi Angkatan Darat) juga menggunakan baret berwarna hijau. Baret TNI yang cukup dikenal luas adalah baret merah yang dikenakan Komando Pasukan Khusus (Kopassus).
Letkol setara apa?;Letnan Kolonel (Letkol) adalah pangkat perwira menengah dalam kemiliteran di Indonesia, setara dengan Ajun Komisaris Besar Polisi dalam Kepolisian Republik Indonesia/Polri. Pangkat ini ditandai dengan pemakaian dua melati emas di bahu.
Apa pentingnya Komcad?;Komcad juga menjadi upaya dalam memperkuat rasa nasionalisme bagi masyarakat. Sebab, sistem pertahanan jadi kebutuhan mendasar bagi sebuah negara untuk menegakkan kedaulatan. Salah satu perwujudannya adalah penguatan tambahan melalui Komcad yang berasal dari rakyat
Baret Coklat itu apa?;Baret ini digunakan oleh satuan Armed (Artileri Medan). Lambangnya berupa gambar dua buah meriam saling berhadapan dan dua amunisi arteleri dengan posisi tegak di bagian tengah. Baret cokelat juga dikenakan Arhanud (Artileri Pertahanan Udara).
Kapan di bentuk Komcad?;Dengan mengucap bismillahirrahmanirrahim, pada hari ini Jumat Tanggal 11 Agustus 2023, Pukul 09.01 WIB, Komponen Cadangan yang dibentuk pada tahun 2023 secara resmi saya nyatakan ditetapkan,” kata Menhan Prabowo saat menetapkan secara resmi Penetapan Komcad 2023
Apa jabatan Deddy Corbuzier di TNI?;Diberitakan, Deddy menerima pangkat militer Letnan Kolonel Tituler TNI AD dari Prabowo Subianto.
Apa saja yang termasuk Komponen Cadangan?;Dalam Pasal 28 UU PSDN disebutkan, Komponen Cadangan terdiri dari warga negara, sumber daya alam, sumber daya buatan, serta sarana dan prasarana nasional.
Apakah wanita bisa menjadi Komcad?;Sedang, untuk tahun lalu, terdapat 15 peserta perempuan Komcad Matra AU. Agung menyebut untuk perempuan bisa mendaftar di Matra AD maupun AL. Namun, di rayon lain. Dari tiga Matra tersebut, ada sebanyak 2.500 peserta Komcad tahun ini.
Berapa gaji Deddy Corbuzier jadi TNI?;Sementara tunjangan jabatan yang didapat Deddy menyesuaikan jabatan struktural TNI dari Rp360 ribu sampai Rp 5,5 juta per bulan.
Baret hijau satuan apa?;Kemudian yang juga menggenakan baret hijau adalah Perbekalan dan Angkutan (Bekang). Baret ini digunakan satuan kecabangan Perbekalan dan Angkutan. Mulai dari tingkat Direktorat Perbekalan dan Angkutan Darat hingga Badan Pelaksana Perbekalan dan Angkutan
Pasukan elit TNI apa saja?;Pasukan elit TNI sendiri terdiri darit Komando Pasukan Khusus (Kopassus) TNI AD, Dentasemen Jala Mangkara (Denjaka) TNI AL, dan Komando Pasukan Gerak Cepat (Kopasgat) TNI AU
;
Apakah pembentukan Komponen Cadangan akan menjadi beban baru bagi anggaran sektor pertahanan yang saat ini jumlahnya masih terbatas?;Pembentukan Komcad tidak menjadi beban baru bagi anggaran sektor pertahanan. Justru di tengah keterbatasan anggaran, keberadaan Komcad ini dapat meringankan beban Pemerintah dalam membangun sistem pertahanan negara. Komcad memungkinkan memperbesar dan memperkuat Komponen Utama (TNI) secara efisien tanpa harus memperbesar kekuatan TNI yang membutuhkan anggaran jauh lebih besar. Praktik semacam ini juga dilakukan oleh negara – negara yang memiliki anggaran serta kekuatan militer yang besar seperti AS, China, Rusia, dan India.
Penetapan Komponen Cadangan berupa sumber daya alam dan sumber daya buatan serat sarana dan prasarana nasional mengabaikan prinsip kesukarelaan. Benarkah?;Komponen pendukung dan komponen cadangan merupakan bagian dari hak dan kewajiban masyarakat terlibat dalam pertahanan negara, yang diatur secara teknis dalam UU Nomor 23 tahun 2019. Tidak satupun pasal yang menjelaskan secara eksplisit terkait potensi pengambilalihan sumber daya alam, sumber daya buatan dan sarana dan prasarana lain milik warga negara secara sewenang-wenang oleh negara. Sebaliknya, UU ini mengatur alasan, waktu dan batasan pengerahan dan pemanfaatan komponen pendukung dan komponen cadangan, yang tidak dapat ditafsirkan di luar yang dimaksud UU ini.
Komponen Cadangan ini di bawah perintah langsung Presiden dengan persetujuan DPR. Dalam jangka pendek dan jangka panjang, kondisi seperti apa yang memungkinakn mobilisasi dan penggunaan Komcad?;Pengerahan Komcad dimanfaatkan sesuai strategi Panglima TNI untuk memperbesar dan memperkuat komponen utama dalam keadaan perang/darurat perang setelah Presiden menyatakan mobilisasi dan disetujui oleh DPR RI. Mobilisasi merupakan tindakan pengerahan dan penggunaan secara serentak Sumber Daya Nasional yang telah dibina dan dipersiapkan sebagai komponen kekuatan Pertahanan Negara untuk dipergunakan secara tepat, terpadu, dan terarah bagi penanggulangan ancaman militer atau keadaan perang yang membahayakan wilayah dan kedaulatan NKRI. Mobilisasi dapat dikenakan kepada seluruh komponen Pertahanan Negara sesuai dengan kebutuhan strategi Pertahanan Negara.  Dalam hal ancaman militer yang membahayakan wilayah dan kedaulatan NKRI sudah dapat diatasi, Presiden dapat menyatakan demobilisasi. Demobilisasi merupakan tindakan penghentian pengerahan dan penghentian penggunaan Sumber Daya Nasional yang berlaku untuk seluruh wilayah negara yang diselenggarakan secara bertahap guna memulihkan fungsi dan tugas setiap unsur seperti sebelum berlakunya Mobilisasi. Mobilisasi dan Demobilisasi dinyatakan oleh Presiden dengan persetujuan DPR RI.
Apakah kekuatan TNI dan Polri kita saat ini masih kurang sehingga dibutuhkan Komponen Cadangan ?;Penyelenggaraan Pertahanan Negara berpedoman pada sistem pertahanan dan keamanan rakyat semesta (Sishankamrata) dengan melibatkan seluruh warga negara, wilayah, dan sumber daya nasional lainnya. Pemerintah mengemban amanat untuk mempersiapkan Sishankamrata dipersiapkan secara dini dan diselenggarakan secara total, terpadu, terarah, dan berlanjut untuk menegakkan kedaulatan negara, keutuhan wilayah, dan keselamatan segenap bangsa dari segala ancaman dengan memperhatikan aspek perkembangan lingkungan strategis.
Apakah Komcad ada kenaikan pangkat?;Namun, sebagai warga negara sipil, Komcad tidak berpangkat. Sesuai PP No 3 Tahun 2021 Pasal 58 Komponen Cadangan yang telah dilantik akan diberikan pangkat mengacu pada penggolongan pangkat Tentara Nasional Indonesia. Pangkat tersebut digunakan ketika anggota Komponen Cadangan berada pada masa aktif.
Siapa komandan Komcad 2023?;Komponen Cadangan (Komcad) bukan wajib militer. Komponen Cadangan adalah salah satu program sukarela (tidak wajib) yang diamanatkan oleh UU No. 23 Tahun 2019 Tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara. Penetapan Komcad Tahun 2023 dipimpin oleh Menteri Pertahanan (Menhan) Prabowo Subianto.
Bintang 5 TNI disebut apa?;Dalam dunia militer Indonesia, pangkat jenderal besar ,laksamana besar, dan marsekal besar merupakan pangkat tertinggi yang dapat diraih. Namun, pangkat yang sering disebut jenderal bintang lima ini hanya dapat diberikan pada sosok yang dinilai berjasa sangat besa
Letkol termasuk golongan berapa?;Golongan IV Perwira Menengah
Apa yang dimaksud Raider TNI?;Batalyon Raider adalah kualifikasi prajurit Tentara Nasional Indonesia (TNI) yang dilatih untuk menguasai 3 kemampuan. Kemampuan tersebut adalah: Kemampuan sebagai pasukan anti-teroris untuk pertempuran jarak dekat.
Apa tugas Komponen Cadangan TNI?;"Mengikuti pelatihan penyegaran; dan Memenuhi panggilan Mobilisas"
Apakah Komcad wajib militer?;Kementerian Pertahanan (Kemhan) menjelaskan Komcad bukan lah wajib militer. Komcad merupakan program sukarela yang diamanatkan oleh Undang-Undang Nomor 23 Tahun 2019 tentang Pengelolaan Sumber Daya Nasional untuk Pertahanan Negara.
Kewajiban menjadi Komcad?;Anggota Komcad harus selalu siapa jika ada panggilan negara.
Apa yang dimaksud dengan pasukan cadangan?;Pasukan cadangan militer adalah organisasi militer yang terdiri dari warga negara yang menggabungkan peran militer dengan pekerjaan sipil. Mereka biasanya tidak selalu berseragam formal dan tugas utama mereka adalah harus siap untuk berperang ketika militer mereka membutuhkan tenaga tambahan.
Syarat pelamat Komcad;Warga Negara Indonesia (WNI), Berimam dan Bertakwa kepada Tuhan Yang Maha Esa, Setia pada NKRI yang berdasarkan Pancasila dan UUD 1945, Berusia minimal 18 tahun dan maksimal 35 tahun pada saat pembukaan pendidikan militer, sehat jasmani dan rohani, SKCK polisi, pendidikan paling rendah adalah SMP atau sederajat.
Apa yang dimaksud dengan komponen cadangan?;Komponen cadangan adalah Sumber Daya Nasional yang telah disiapkan untuk dikerahkan melalui mobilisasi guna memperbesar dan memperkuat kekuatan dan kemampuan Komponen Utama.
Bintang 4 TNI apa namanya?;Jenderal adalah pangkat tertinggi yang dapat dicapai oleh seorang Perwira Tinggi karier di militer, pangkat ini satu tingkat di atas Letnan Jenderal dan berbintang empat. Tanda pangkat Jenderal di Indonesia, digunakan untuk jabatan Kepala Staf TNI Angkatan Darat, Wakil Panglima TNI atau Panglima TNI
Apakah Komponen Cadangan wajib?;Rancangan Undang-Undang Komponen Tentara Cadangan sedang digodok. Dalam rancangan itu, hampir setiap warga negara wajib menjadi komponen tentara cadangan. Dalam pasal 8 dan 9 disebut Pegawai Negeri Sipil dan warga negara yang sudah berumur 18 tahun
Pengelompokan Komcad?;Komcad matra darat, komcad matra laut, dari komcad matra udara.
Berapa jumlah Komcad di Indonesia?;Pada gelombang pertama di 2021 berjumlah 3.103 orang, gelombang kedua di 2022 berjumlah 2.974 orang dan di tahun 2023 sebanyak 2.497 orang. Maka sejak 2021 sampai dengan 2023, jumlah Komcad yang sudah ditetapkan sebanyak 8.574 orang.
Apakah Komcad boleh pegang senjata?;"Peserta tak diperkenankan menggunakan senjata itu di luar waktu latihan. ""Dan digunakan hanya untuk pelatihan saja,"""
Definisi Komcad?;Sumber daya yang disiapkan dimobiisasi guna memperbesar dan memperkuat kekuatan dan kemampuan komponen utama pertahanan
Proses Rekrutmen Komcad?;Pendaftaran, Seleksi administrasi, Pelatihan dasar
Apa nama himme lagu Komcad?;Mars Komponen Cadangan
Kapan Komcad dipanggil untuk masa aktif?;Komponen Cadangan dipanggil untuk masa aktif hanya ketika mobilisasi telah diumumkan oleh Presiden pada saat darurat nasional atau perang, dan panggilan untuk pelatihan penyegaran.
Apakah selama masa aktif, Komcad dianggap sebagai personel aktif?;Selama masa aktif, Komponen Cadangan harus dianggap sebagai personel cadangan aktif yang merupakan bagian dari Tentara Nasional Indonesia, dan dengan demikian tunduk pada hukum dan peraturan militer yang ditetapkan oleh hukum.
Bagaimana penyelenggaraan Komponen Cadangan dilakukan?;Penyelenggaraan dan keberadaan komponen cadangan pertahanan negara didasarkan peraturan perundang-undangan. Penyelenggaraan komponen cadangan dilaksanakan melalui pola pembentukan, pembinaan, dan penggunaan yang dilakukan secara terpusat.
Siapa saja yang bisa ikut Komcad?;Sehat Jasmani dan Rohani -Berusia 18 - 35 Tahun -Setia kepada NKRI yang berdasarkan pancasila dan UUD Negara Republik Indonesia.
Kapan masa aktif Komcad berakhir?;Masa aktif Komponen Cadangan akan berakhir sampai mereka demobilisasi, atau menyelesaikan pelatihan penyegaran dan kembali tunduk pada hukum sipil.
Apakah Komcad wajib?;Untuk diketahui, Komcad bukan wajib militer karena pendaftarannya dibuka secara sukarela. Penggunaan Komcad hanya pada saat mobilisasi oleh Presiden dengan persetujuan DPR. Warga negara yang memenuhi syarat dilatih dasar kemiliteran dan diorganisir dengan status tetap sipil.
